,f_MUNICIPIO_COD,f_MUNICIPIO,ANO,MES,ANOMES,REGIAO,HOMOCIDIO_DOLOSO,LESAO_CORPORAL_MORTE,LATROCINIO,CVLI,HOMOCIDIO_POR_INTERVENCAO_POLICIAL,LETALIDADE_VIOLENTA,TENTATIVA_HOMICIDIO,ESTUPRO,HOMICIDIO_CULPOSP,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_CULPOSA,ROUBO_TRANSEUNTE,ROUBO_CELULAR,ROUBO_EM_COLETIVO,ROUBO_EM_RUA,ROUBO_VEICULO,ROUBO_DE_CARGA,ROUBO_COMERCIO,ROUBO_RESIDENCIAL,ROUBO_BANCO,ROUBO_CAIXA_ELETRONICO,ROUBO_CONSUCAO_SAQUE,ROUBO_APOS_SAQUE,ROUBO_BICICLETA,OUTROS_ROUBOS,TOTAL_ROUBOS,FURTO_VEICULOS,FURTO_TRANSEUNTE,FURTO_EM_COLETIVO,FURTO_CELULAR,FURTO_BICILETA,OUTROS_FURTOS,TOTAL_FURTOS,SEQUESTRO,EXTORSAO,SEQUESTRO_RELAMPAGO,ESTELIONATO,APREENSAO_DROGAS,POSSE_DROGAS,TRAFICO_DROGAS,APREENSAO_DROGAS_SEM_AUTOR,RECUPERACAO_VEICULOS,APF,AAAPAI,CMP,CMBA,AMEACA,PESSOAS_DESAPARECIDAS,ENCONTRO_CADAVER,ENCONTRO_OSSADA,POLICIAL_MILITAR_MORTO_SERVICO,POLICIAL_CIVIL_MORTO_SERVICO,REGISTRO_OCORRENCIAS,FASE
0,3300100,ANGRA DOS REIS,2014,1,201401,INTERIOR,11,0,0,11,1,12,2,96,7,4,37,5,1,1,7,8,0,4,0,0,0,0,0,0,5,23,18,3,3,11,0,98,134,0,0,0,21,35,18,12,5,9,28,6,8,0,98,13,3,0,0,0,561,3
1,3300159,APERIBÉ,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,3300209,ARARUAMA,2014,1,201401,INTERIOR,2,0,0,2,0,2,6,69,7,1,45,6,1,0,7,9,0,3,2,0,0,0,0,0,2,23,16,2,1,10,0,76,105,0,2,0,18,13,9,4,1,4,34,5,5,0,91,10,1,0,0,0,480,3
3,3300225,AREAL,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,3300233,ARMAÇÃO DOS BÚZIOS,2014,1,201401,INTERIOR,2,0,0,2,0,2,0,44,6,0,26,5,1,0,6,2,0,0,0,0,0,0,0,0,20,12,9,9,2,7,0,74,117,0,0,0,4,16,6,10,2,2,26,8,3,2,46,0,0,0,0,0,309,3
5,3300258,ARRAIAL DO CABO,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,32,2,0,6,1,0,0,1,2,0,0,0,0,0,0,0,0,6,6,3,3,0,1,0,39,49,0,0,0,8,15,4,10,1,2,7,1,1,0,26,0,0,0,0,0,176,3
6,3300308,BARRA DO PIRAÍ,2014,1,201401,INTERIOR,1,0,0,1,0,1,3,52,5,0,7,2,0,0,2,1,1,1,0,0,0,0,0,0,2,7,5,0,1,5,0,27,38,0,0,0,4,12,7,5,1,2,19,3,19,0,56,0,0,0,0,0,248,3
7,3300407,BARRA MANSA,2014,1,201401,INTERIOR,5,0,0,5,0,5,6,62,4,0,18,3,0,0,3,4,0,9,1,0,0,0,0,0,1,18,20,4,0,11,0,87,122,0,0,0,5,19,8,10,1,11,28,1,25,0,54,2,1,0,0,0,430,3
8,3300456,BELFORD ROXO,2014,1,201401,BAIXADA FLUMINENSE,29,0,0,29,0,29,7,256,11,2,45,173,1,8,182,73,23,10,2,0,0,0,3,0,14,307,27,18,3,10,0,112,170,0,2,0,29,35,2,29,4,91,64,15,16,0,231,22,3,0,0,0,1367,3
9,3300506,BOM JARDIM,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,6,9,0,0,0,3,4,2,2,0,0,1,0,3,1,11,1,0,0,0,0,59,3
10,3300605,BOM JESUS DO ITABAPOANA,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,23,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,20,21,0,0,0,1,9,8,1,0,0,3,2,0,1,27,0,0,0,0,0,115,3
11,3300704,CABO FRIO,2014,1,201401,INTERIOR,9,0,0,9,0,9,12,119,9,4,81,34,0,1,35,15,1,8,2,0,0,0,0,0,118,103,34,57,6,17,0,194,384,0,0,2,27,51,14,34,5,26,80,28,8,0,121,7,3,0,0,0,1105,3
12,3300803,CACHOEIRAS DE MACACU,2014,1,201401,INTERIOR,2,0,0,2,0,2,5,31,2,1,22,1,0,0,1,0,1,1,1,0,0,0,0,0,3,7,4,0,1,1,0,21,27,0,1,0,7,5,2,2,1,0,3,1,2,0,20,2,1,0,0,0,175,3
13,3300902,CAMBUCI,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,2,1,1,0,0,0,0,0,0,7,0,0,0,0,0,42,3
14,3300936,CARAPEBUS,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
